t,FL_hip_joint,FL_knee_joint,FL_ankle_joint,FR_hip_joint,FR_knee_joint,FR_ankle_joint,RL_hip_joint,RL_knee_joint,RL_ankle_joint,RR_hip_joint,RR_knee_joint,RR_ankle_joint
2.2444,0.1467,0.1299,0.0007,0.7738,-1.0577,0.9716,-1.0683,-1.3687,-0.5339,-0.0888,0.1383,0.0024
2.2563,0.3748,0.0764,-0.0611,0.4137,2.7934,1.7993,-0.8230,2.8545,2.9556,0.1457,-0.3271,-0.0306
2.2679,0.1293,0.0889,-0.0098,-0.1715,-1.1496,0.1786,0.2173,1.4444,1.5888,-0.1212,0.0732,-0.0075
2.2790,0.1442,0.1274,-0.0004,0.7365,-1.1896,0.9187,-1.0327,-1.3678,-0.5847,-0.0942,0.1408,0.0009
2.2903,0.1437,0.1264,-0.0006,0.7367,-1.2013,0.9193,-1.0347,-1.3757,-0.5937,-0.0937,0.1395,0.0006
2.3043,0.1205,0.0564,-0.0194,0.8352,1.2531,0.7945,-0.5161,1.3171,2.1851,-0.1507,0.0174,-0.0162
2.3933,0.1321,0.0897,-0.0106,-0.1573,-1.2315,0.1792,0.1883,1.3715,1.5529,-0.1230,0.0775,-0.0086
2.4055,0.1301,0.0626,-0.0192,-0.1029,-0.0047,-0.0109,0.3624,2.6351,2.9551,-0.1402,0.0280,-0.0143
2.4174,0.1319,0.0869,-0.0114,-0.1707,-1.2704,0.1549,0.1994,1.3714,1.5544,-0.1235,0.0758,-0.0094
2.4283,0.2253,0.1236,-0.0211,0.0975,-0.0373,0.0092,-0.2935,1.7952,2.5787,-0.0912,0.0602,-0.0075
2.4395,0.1325,0.0832,-0.0122,-0.1824,-1.3157,0.1324,0.2066,1.3634,1.5493,-0.1244,0.0733,-0.0103
2.4522,0.1306,0.0423,-0.0217,-0.0987,-0.0034,-0.0108,0.3545,2.6030,2.9516,-0.1429,0.0124,-0.0166
2.4630,0.1332,0.0787,-0.0128,-0.1862,-1.3603,0.1159,0.2023,1.3290,1.5213,-0.1248,0.0702,-0.0110
2.4747,0.2776,0.0734,-0.0462,2.9315,2.8659,2.4780,-2.6520,0.6505,2.9494,-0.2345,0.0221,-0.0311
2.4857,0.1344,0.0739,-0.0131,-0.1910,-1.4061,0.0986,0.1981,1.2948,1.4918,-0.1249,0.0665,-0.0114
2.4968,0.1539,0.0111,-0.0300,1.3594,1.7535,1.0454,-1.0135,1.6704,2.9388,-0.1765,-0.0115,-0.0226
2.5949,0.1348,0.0692,-0.0130,-0.1970,-1.4540,0.0792,0.1950,1.2587,1.4594,-0.1246,0.0626,-0.0115
2.6075,0.1704,0.0027,-0.0323,1.5928,1.8738,1.3048,-1.2630,1.5184,2.9352,-0.1841,-0.0202,-0.0238
2.6191,0.1244,-0.0016,-0.0118,-0.0764,0.0455,0.0047,0.1884,0.0236,-0.0146,-0.5236,2.5213,2.8643
2.6308,0.0307,0.0136,-0.0036,0.0880,0.5089,0.6516,0.0665,0.0127,-0.0048,-0.2675,-0.1040,0.5513
2.6418,-0.0231,-0.0085,0.0009,-0.1113,0.0435,-0.0126,-0.0307,-0.0140,-0.0013,0.2195,1.1444,1.1670
2.6612,-1.8870,-0.1826,0.8827,-0.4048,0.1213,-0.0581,-0.3103,-0.0103,0.0061,2.9702,2.8413,2.9256
2.6763,-1.6672,1.3240,1.4186,-0.1273,0.0872,-0.0091,0.1200,0.0701,-0.0068,1.6832,-1.2915,0.1769
2.6927,-0.8930,-1.5681,0.8898,-0.0390,0.1235,0.0171,0.2493,0.2626,0.0032,0.8218,-2.2576,-1.0698
